지점,일시,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 기온(°C),수온(°C),평균 최대 파고(m),평균 유의 파고(m),최고 유의 파고(m),최고 최대 파고(m),평균 파주기(sec),최고 파주기(sec)
21229,2020-01-01,5.8,1025.8,54,5.6,13.6,2.8,1.7,2.1,3.6,7.4,9.1
21229,2020-01-02,4.8,1024.3,51,7.5,13.6,1.9,1.1,1.3,2.5,6.5,8
21229,2020-01-03,6.3,1020.8,53,8.5,13.5,2.1,1.3,1.4,2.5,5.8,7.1
21229,2020-01-04,8,1020.4,57,7.7,13.8,2.5,1.5,2,3.7,6.4,7.1
21229,2020-01-05,4.4,1028.8,65,6.9,13.9,2.1,1.3,1.9,3,6.5,7.1
21229,2020-01-06,5.6,1026.6,63,10,14.2,1.5,.9,1.2,2.1,5.7,7.1
21229,2020-01-07,8.8,1014.6,86,12,14,2.8,1.7,2.5,4.4,5.8,7.1
21229,2020-01-08,13.2,1004,76,9.4,13.9,6.8,4.2,6.2,10.7,8.7,10.7
21229,2020-01-09,7.4,1017,65,7.6,13.8,5,3,3.9,7.2,9.3,10.7
21229,2020-01-10,5.3,1019.8,64,7.4,13.7,2.6,1.6,2.4,3.7,7.6,9.1
21229,2020-01-11,6.9,1015.3,62,8,13.7,2.1,1.2,1.5,2.9,5.7,7.1
21229,2020-01-12,9.3,1010.9,78,6.7,13.7,2.9,1.8,2.8,4.6,6.3,8
21229,2020-01-13,6.1,1016.3,59,5.3,13.6,2.5,1.6,2.2,3.7,6.2,7.1
21229,2020-01-14,8.2,1019.8,80,4.3,13.2,4.2,2.5,3.2,5,7.1,8
21229,2020-01-15,6.2,1023.7,71,4.3,13.2,3,1.8,2.8,4.6,6.7,8
21229,2020-01-16,3.8,1023.2,61,5.8,13.2,1.7,1,1.2,2.1,6,6.4
21229,2020-01-17,7,1020.6,67,6.8,13.3,2.2,1.3,2.2,3.8,5.4,6.4
21229,2020-01-18,6.4,1018.5,63,6.3,13.1,2.6,1.5,2,3.6,6,6.4
21229,2020-01-19,7.2,1014.6,55,7.6,13.1,2.1,1.3,2.5,3.7,5.6,8
