count,date,title,description,org_link,link
243,2024-08-13 13:18:00,"충남도, 제16회 대통령배 아마추어 대회 개최","먼저, 게임 배경음악(OST) 오케스트라 ‘플래직’ , 남자 아이돌그룹 ‘엔카이브’의 공연이 진행되고, <b>인공지능</b>(AI) 놀이터, 아케이드 게임, 코스프레 포토존, 과학 교육, 두뇌 게임, 만들기 체험 등 40여 개의 체험 부스를... ",http://www.shinailbo.co.kr/news/articleView.html?idxno=1916915,http://www.shinailbo.co.kr/news/articleView.html?idxno=1916915
244,2024-08-13 13:17:00,"[K-디스플레이 24] 윤수영 LGD 부사장 &quot;OLED, 향후 10년 이끈다…IT패널 성장...","최근 주목받는 <b>인공지능</b>(AI) 기반의 혁신이 디스플레이 업계에 적용되고 있는 점도 언급했다. 윤 부사장은 &quot;모든 디스플레이 생산 절차에 AI를 도입하려고 노력 중이며, 이는 보다 효율적인 대량양산이 가능케 할... ",https://www.ddaily.co.kr/page/view/2024081312525261833,https://n.news.naver.com/mnews/article/138/0002179913?sid=105
245,2024-08-13 13:16:00,"가평군, '<b>인공지능</b>' 투명페인트 무인회수기 운영",관내 공공시설 4곳에 설치… 포인트 적립 혜택 가평군은 투명페트병 분리배출 및 재활용을 높이기 위해 <b>인공지능</b>형 사물인터넷(AloT)기술이 도입된 '투명페트병 무인회수기'를 지난 8일부터 시범 운영하고 있다고 밝혔다.... ,https://www.kgnews.co.kr/news/article.html?no=805463,https://www.kgnews.co.kr/news/article.html?no=805463
246,2024-08-13 13:16:00,달리는 차 안은 나만의 디지털 문화공간,"GIST AI대학원 연구팀, Edge AI 기술 공모전 우승[보안뉴스 박미영 기자] 광주과학기술원(GIST)은 AI대학원 안창욱 교수 연구팀이 ‘엣지 <b>인공지능</b>(Edge AI) 기술개발 산학협력연구’ 공모에 참가해 최종 우승(최우수상... ",http://www.boannews.com/media/view.asp?idx=132004&kind=,http://www.boannews.com/media/view.asp?idx=132004&kind=
247,2024-08-13 13:16:00,"도성훈 인천광역시교육감, 지역연계 꿈이음대학 성과공유회 참석","'<b>인공지능</b>과 함께 미리 체험하는 스타트업' 강의를 진행한 가톨릭대학교 교수는 &quot;꿈이음대학에 참여하는 학생들은 어떤 대학생들보다 적극적이고, 기민하게 학습을 받아들여 매 시간마다 굉장히 놀랐다&quot;며 &quot;꿈이음대학은... ",http://www.m-i.kr/news/articleView.html?idxno=1149572,http://www.m-i.kr/news/articleView.html?idxno=1149572
248,2024-08-13 13:15:00,"삼성 &quot;온디바이스AI 디스플레이, '저전력'이 핵심&quot;…LG &quot;올해 IT OLED 비중 3...",삼성디스플레이는 국내 최대 디스플레이 포럼에서 <b>인공지능</b>(AI) 시대 저전력·저발열 기술을 확보하는 것이 가장 중요하다고 밝혔다. 삼성이 만든 고휘도(밝기)의 올레도스(OLEDoS) 기술을 통해 고해상도 혼합현실(XR)... ,https://view.asiae.co.kr/article/2024081313094895309,https://n.news.naver.com/mnews/article/277/0005458582?sid=101
249,2024-08-13 13:15:00,"가평군, 투명페트병 무인회수기 운영…1개당 10원 적립",가평군에는 다 쓴 투평페트병 1개에 10원씩 적립받을 수있는 <b>인공지능</b> 무인회수기가 있다. 경기 가평군은 투명페트병 분리배출 및 재활용을 높이기 위해 <b>인공지능</b>형 사물인터넷(AIoT) 기술이 도입된 ‘투명페트병... ,http://www.edaily.co.kr/news/newspath.asp?newsid=02650246638986992,https://n.news.naver.com/mnews/article/018/0005810424?sid=100
250,2024-08-13 13:15:00,"콤비로, '생성형 AI 활용 혁신 비즈니스 전략' 교육 성료",기술사업화 컨설팅 전문기업 콤비로는 지난 8일 서울교육대학교에서 '생성형 <b>인공지능</b>(AI) 기술을 활용한 혁신 비즈니스 전략' 교육을 성공적으로 마쳤다고 밝혔다. 교육에는 AI 기술 활용에 관심 있는 공공서비스 부문... ,https://www.etnews.com/20240813000172,https://n.news.naver.com/mnews/article/030/0003231301?sid=105
251,2024-08-13 13:14:00,[#증권톡톡] 신한투자증권 매머드커피와 음료 콜라보·한국투자증권 한부모 가...,이번 행사에서는 '마스터스 아카데미' 출범을 기념해 권영우 한국<b>인공지능</b>협회 부회장이 '챗GPT를 활용한 기업 경영계획 수립 및 산업 분석'을 주제로 세미나를 실시한다. 또 지난해 2월부터 진행된 '금융&amp;아트 세미나... ,https://www.newsworks.co.kr/news/articleView.html?idxno=762269,https://www.newsworks.co.kr/news/articleView.html?idxno=762269
252,2024-08-13 13:14:00,"큐리오시스, 디지털 병리 시스템 ‘MSP 320’ 레드닷 어워드 ‘Best of Best’...","이 장비는 암 진단 과정에 필수적인 조직 슬라이드를 고해상도로 신속하게 자동 촬영하는 것은 물론, <b>인공지능</b>(AI) 기반의 진단을 통해 국내 디지털 병리학의 발전에 중추적인 역할을 하고 있다. 지난해 3월... ",http://www.segyebiz.com/newsView/20240813511921?OutUrl=naver,http://www.segyebiz.com/newsView/20240813511921?OutUrl=naver
